,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,Morning Star,Engulfing,Three_crows,MACD
100,HK.00388,2021-02-02 00:00:00,508.85,511.85,519.85,503.85,70.338,0.00604,7652162,3995162773.0,3.4353844599373544,494.85,0,0,0,24.301987699919437
101,HK.00388,2021-02-03 00:00:00,515.85,511.85,518.85,509.35,70.338,0.0038,4814234,2517675679.0,0.0,511.85,0,0,0,24.106931315509712
102,HK.00388,2021-02-04 00:00:00,502.85,501.85,510.85,495.35,68.988,0.00522,6620948,3382001380.0,-1.9536973722770343,511.85,0,0,0,22.881665700197118
103,HK.00388,2021-02-05 00:00:00,506.35,507.85,522.85,505.85,69.798,0.00525,6656415,3482645832.0,1.1955763674404702,501.85,0,0,0,22.139572517827446
104,HK.00388,2021-02-08 00:00:00,516.35,509.35,520.35,506.35,70.001,0.00358,4538849,2371467050.0,0.29536280397755243,507.85,0,0,0,21.425515779300497
105,HK.00388,2021-02-09 00:00:00,510.35,505.35,510.85,503.85,69.461,0.00297,3770129,1943896222.0,-0.7853146166683027,509.35,0,0,0,20.30281587556226
106,HK.00388,2021-02-10 00:00:00,512.85,524.85,524.85,510.35,72.093,0.00428,5424291,2872451104.0,3.85871178391214,505.35,0,0,0,20.747392123339296
107,HK.00388,2021-02-11 00:00:00,520.85,525.85,532.35,518.35,72.228,0.0022,2792384,1492571415.0,0.1905306277984186,524.85,0,0,0,20.93904141007812
108,HK.00388,2021-02-16 00:00:00,534.85,538.85,544.35,528.85,73.984,0.00447,5662561,3092327980.0,2.4721878862793574,525.85,0,0,0,21.887609467664618
109,HK.00388,2021-02-17 00:00:00,532.85,554.35,561.35,531.85,76.076,0.00476,6039425,3381106479.0,2.876496241996845,538.85,0,0,0,23.61782535930456
110,HK.00388,2021-02-18 00:00:00,558.85,556.35,567.35,548.85,76.346,0.00593,7518475,4275517520.0,0.36078289889059256,554.35,0,0,0,24.863802763189938
111,HK.00388,2021-02-19 00:00:00,547.85,557.85,559.35,541.35,76.549,0.00474,6015649,3375942891.0,0.26961445133459155,556.35,0,0,0,25.676305825912777
112,HK.00388,2021-02-22 00:00:00,570.35,553.35,577.85,550.85,75.941,0.00669,8483046,4864419782.0,-0.8066684592632428,557.85,0,0,0,25.66130046678211
113,HK.00388,2021-02-23 00:00:00,547.85,548.85,557.85,532.85,75.334,0.00433,5486915,3049038493.0,-0.813228517213337,553.35,0,0,0,24.998133299750577
114,HK.00388,2021-02-24 00:00:00,549.85,499.85,555.85,480.45,68.718,0.03182,40339810,20709166823.0,-8.927758039537213,548.85,0,-100,0,20.28484696319026
115,HK.00388,2021-02-25 00:00:00,507.35,490.85,513.35,485.85,55.096,0.01721,21813268,11028791413.0,-1.8005401620486146,499.85,0,0,0,15.642986192800436
116,HK.00388,2021-02-26 00:00:00,480.65,464.05,480.85,458.85,52.143,0.0177,22444157,10698903912.0,-5.4599164714271184,490.85,0,0,0,9.690041302121244
117,HK.00388,2021-03-01 00:00:00,470.05,480.45,481.85,464.05,53.95,0.00829,10509974,5089798941.0,3.5341019286714745,464.05,0,0,0,6.22388742706346
118,HK.00388,2021-03-02 00:00:00,487.85,478.45,499.85,470.85,53.73,0.009,11416451,5638041209.0,-0.416276407534603,480.45,0,0,0,3.2777681525644766
119,HK.00388,2021-03-03 00:00:00,483.85,488.85,490.45,477.65,54.876,0.00432,5474542,2709099152.0,2.1736858605915006,478.45,0,0,0,1.7618311921727923
120,HK.00388,2021-03-04 00:00:00,476.85,473.85,482.65,468.85,53.223,0.0068,8625288,4155505938.0,-3.0684258975145746,488.85,0,0,0,-0.6425277504949918
121,HK.00388,2021-03-05 00:00:00,464.45,470.65,479.65,455.85,52.87,0.00754,9559584,4544606310.0,-0.6753191938377219,473.85,0,0,0,-2.7742331585624243
122,HK.00388,2021-03-08 00:00:00,475.45,446.25,476.65,439.45,50.181,0.01396,17693509,8106211131.0,-5.184319558058,470.65,0,-100,0,-6.359196277036176
123,HK.00388,2021-03-09 00:00:00,444.11,436.11,450.11,425.51,48.573,0.01105,14013786,6185306473.0,-2.272268907563022,446.25,0,0,0,-9.904347480660533
124,HK.00388,2021-03-10 00:00:00,449.31,440.11,450.31,436.31,49.013,0.00582,7375540,3294849495.0,0.9171997890440484,436.11,0,0,0,-12.249929221612206
125,HK.00388,2021-03-11 00:00:00,441.91,456.51,459.91,440.51,50.82,0.00629,7973377,3644109428.0,3.726341141987225,440.11,0,0,0,-12.63977327253889
126,HK.00388,2021-03-12 00:00:00,461.31,448.91,464.31,445.51,49.983,0.00541,6862165,3152926563.0,-1.6648047140259723,456.51,0,0,0,-13.407431451783054
127,HK.00388,2021-03-15 00:00:00,448.31,441.31,453.11,434.31,49.146,0.00505,6403885,2851908429.0,-1.6929896861286275,448.91,0,0,0,-14.462349609859984
128,HK.00388,2021-03-16 00:00:00,447.31,448.51,457.31,445.31,49.939,0.00396,5021633,2288517366.0,1.6315061974575669,441.31,0,0,0,-14.549680364936137
129,HK.00388,2021-03-17 00:00:00,447.31,449.91,453.31,441.31,50.093,0.00237,3008874,1365755875.0,0.3121446567523654,448.51,0,0,0,-14.340612661762862
130,HK.00388,2021-03-18 00:00:00,454.51,465.31,471.51,454.31,51.79,0.00659,8352973,3929507059.0,3.4229068035829333,449.91,0,0,0,-12.784897365410473
131,HK.00388,2021-03-19 00:00:00,460.31,462.31,464.91,451.31,51.46,0.00501,6347720,2939543114.0,-0.6447314693430186,465.31,0,0,0,-11.659651507978651
132,HK.00388,2021-03-22 00:00:00,455.11,451.51,461.11,451.31,50.269,0.00395,5002905,2298561730.0,-2.3360948281456193,462.31,0,0,0,-11.506713568304463
133,HK.00388,2021-03-23 00:00:00,454.11,444.31,458.51,441.91,49.476,0.00493,6247829,2817874011.0,-1.5946490664658566,451.51,0,0,0,-11.83011873159893
134,HK.00388,2021-03-24 00:00:00,442.11,431.11,444.51,429.51,48.022,0.00627,7947715,3479809523.0,-2.970898696855796,444.31,0,0,0,-13.00167413040117
135,HK.00388,2021-03-25 00:00:00,427.51,444.91,451.91,416.31,49.542,0.00772,9788749,4354452270.0,3.2010391779360283,431.11,0,100,0,-12.670537486951048
136,HK.00388,2021-03-26 00:00:00,450.31,458.51,463.31,448.51,51.041,0.00605,7664306,3547418584.0,3.056798004090707,444.91,0,0,0,-11.181806071291248
137,HK.00388,2021-03-29 00:00:00,464.11,462.11,465.91,455.71,51.438,0.00468,5927791,2769516858.0,0.7851519050838635,458.51,0,0,0,-9.60081358242627
138,HK.00388,2021-03-30 00:00:00,464.51,458.91,464.71,456.11,51.085,0.00268,3397691,1583471403.0,-0.6924758174460601,462.11,0,0,0,-8.50800392781781
139,HK.00388,2021-03-31 00:00:00,462.51,452.71,469.11,450.31,50.402,0.00396,5022933,2321421946.0,-1.3510274345732378,458.91,0,0,0,-8.049443612351695
140,HK.00388,2021-04-01 00:00:00,455.71,463.91,466.11,443.71,51.636,0.00627,7945089,3663308194.0,2.473989971504947,452.71,0,0,0,-6.70499386533578
141,HK.00388,2021-04-07 00:00:00,462.51,452.71,463.91,450.71,50.402,0.00446,5655011,2599727051.0,-2.414261386906953,463.91,0,0,0,-6.468687153396445
142,HK.00388,2021-04-08 00:00:00,450.71,459.51,463.91,450.71,51.151,0.00228,2896533,1345619696.0,1.5020653398422856,452.71,0,0,0,-5.667379192151657
143,HK.00388,2021-04-09 00:00:00,469.71,458.11,469.71,456.71,50.997,0.00306,3878615,1816046642.0,-0.3046723683924131,459.51,0,0,0,-5.086669203231679
144,HK.00388,2021-04-12 00:00:00,459.91,451.91,460.31,449.71,50.314,0.00192,2430976,1112732126.0,-1.3533867411756975,458.11,0,0,0,-5.068316144069513
145,HK.00388,2021-04-13 00:00:00,451.51,449.31,458.11,448.51,50.027,0.00174,2205737,1007278642.0,-0.5753357969507253,451.91,0,0,0,-5.203585785534301
146,HK.00388,2021-04-14 00:00:00,455.31,456.71,460.31,452.71,50.842,0.00243,3084799,1424995253.0,1.646969798134913,449.31,0,0,0,-4.6599527606359175
147,HK.00388,2021-04-15 00:00:00,458.51,458.71,460.31,453.31,51.063,0.00175,2215430,1023892561.0,0.4379146504346303,456.71,0,0,0,-4.02138041622112
148,HK.00388,2021-04-16 00:00:00,459.31,462.31,466.71,458.71,51.46,0.00244,3087729,1443493200.0,0.784809574676816,458.71,0,0,0,-3.1880672641443084
149,HK.00388,2021-04-19 00:00:00,465.31,474.91,480.11,460.71,52.848,0.00473,6001039,2875857752.0,2.725443966169891,462.31,0,0,0,-1.4937271334385969
150,HK.00388,2021-04-20 00:00:00,476.11,482.11,483.31,468.51,53.641,0.00354,4486544,2168969681.0,1.516076730327849,474.91,0,0,0,0.425128833734675
151,HK.00388,2021-04-21 00:00:00,475.91,474.91,479.31,471.31,52.848,0.00314,3977736,1912118639.0,-1.493435108170332,482.11,0,0,0,1.3493022685999563
152,HK.00388,2021-04-22 00:00:00,475.31,474.11,479.91,474.11,52.76,0.003,3803016,1832058926.0,-0.16845297003643034,474.91,0,0,0,1.994175446701263
153,HK.00388,2021-04-23 00:00:00,473.31,480.11,482.71,472.51,53.421,0.00227,2881423,1393106815.0,1.2655290966231465,474.11,0,100,0,2.9553247976729153
154,HK.00388,2021-04-26 00:00:00,483.31,486.71,493.31,479.51,54.148,0.00387,4911101,2422537921.0,1.374684968028153,480.11,0,0,0,4.201178849885196
155,HK.00388,2021-04-27 00:00:00,487.91,485.31,490.11,483.91,53.994,0.00281,3561380,1751281847.0,-0.28764562059542176,486.71,0,0,0,5.017717735807821
156,HK.00388,2021-04-28 00:00:00,484.31,484.11,491.51,481.31,53.862,0.00338,4288924,2109425358.0,-0.24726463497558027,485.31,0,0,0,5.504547714968737
157,HK.00388,2021-04-29 00:00:00,485.31,475.31,488.31,472.51,52.892,0.00346,4385722,2112161649.0,-1.8177686889343354,484.11,0,0,0,5.12124302382739
158,HK.00388,2021-04-30 00:00:00,471.51,465.31,474.31,463.51,51.79,0.0033,4189807,1977423319.0,-2.1038900927815534,475.31,0,0,0,3.964850539043425
159,HK.00388,2021-05-03 00:00:00,465.31,460.31,465.31,458.51,51.239,0.00177,2243059,1043658639.0,-1.074552448905031,465.31,0,0,0,2.614801150234939
160,HK.00388,2021-05-04 00:00:00,460.51,465.71,467.51,460.51,51.834,0.00109,1383311,650237208.0,1.1731224609502242,460.31,0,0,0,1.9580410746700636
161,HK.00388,2021-05-05 00:00:00,464.91,464.11,467.31,460.51,51.658,0.00109,1378951,646530046.0,-0.34356144381696035,465.71,0,0,0,1.2935362738751337
162,HK.00388,2021-05-06 00:00:00,467.11,462.31,469.51,459.71,51.46,0.00244,3099136,1452880966.0,-0.3878390898709382,464.11,0,0,0,0.6145819567408921
163,HK.00388,2021-05-07 00:00:00,465.31,449.71,468.11,447.31,50.071,0.00439,5561936,2550393225.0,-2.725443966169891,462.31,0,0,0,-0.9294942969310682
